,Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
0,J.J. Barea,DAL,36,5-10,180,Northeastern,Puerto Rico,Undrafted,Undrafted,Undrafted,29,7.7,1.8,3.9,2.9,2.2%,9.7%,24.5%,51.2%,36.5%
1,J.P. Macura,CLE,25,6-4,203,Xavier,USA,2018,,,1,0.0,0.0,0.0,150.0,0.0%,0.0%,0.0%,0.0%,0.0%
2,JJ Redick,NOP,36,6-3,200,Duke,USA,2006,1,11,60,15.3,2.5,2.0,-1.0,0.6%,8.3%,19.7%,64.4%,10.7%
3,JR Smith,LAL,34,6-6,220,No College,USA,2004,1,18,6,2.8,0.8,0.5,-16.7,0.0%,6.0%,14.4%,37.2%,5.6%
4,Ja Morant,MEM,20,6-3,174,Murray State,USA,2019,1,2,67,17.8,3.9,7.3,-0.6,2.4%,9.0%,25.6%,55.6%,35.4%
5,JaKarr Sampson,IND,27,6-7,214,St. John's,USA,Undrafted,Undrafted,Undrafted,34,4.6,2.6,0.6,1.9,4.2%,14.1%,12.6%,61.5%,5.8%
6,JaMychal Green,LAC,30,6-8,227,Alabama,USA,Undrafted,Undrafted,Undrafted,63,6.8,6.2,0.8,5.0,5.5%,20.9%,13.2%,57.6%,5.1%
7,JaVale McGee,LAL,32,7-0,270,Nevada-Reno,USA,2008,1,18,68,6.6,5.7,0.5,5.8,11.1%,21.8%,14.5%,65.2%,4.4%
8,Jabari Parker,SAC,25,6-8,245,Duke,USA,2014,1,2,38,14.0,5.6,1.8,-4.9,6.5%,17.0%,23.3%,57.1%,11.0%
9,Jacob Evans,MIN,23,6-4,210,Cincinnati,USA,2018,1,28,29,4.4,1.4,1.1,-11.0,1.9%,7.7%,16.7%,43.6%,12.0%
10,Jae Crowder,MIA,29,6-6,235,Marquette,USA,2012,2,34,65,10.5,5.9,2.5,-2.9,2.6%,16.9%,15.2%,55.3%,11.7%
11,Jahlil Okafor,NOP,24,6-10,270,Duke,USA,2015,1,3,30,8.1,4.2,1.2,-10.1,9.4%,16.4%,19.5%,64.2%,12.1%
12,Jake Layman,MIN,26,6-8,209,Maryland,USA,2016,2,47,23,9.1,2.5,0.7,2.0,3.0%,7.5%,16.5%,54.4%,4.1%
13,Jakob Poeltl,SAS,24,7-1,245,Utah,Austria,2016,1,9,66,5.6,5.7,1.8,5.7,10.8%,19.4%,12.5%,61.2%,12.6%
14,Jalen Brunson,DAL,23,6-1,190,Villanova,USA,2018,2,33,57,8.2,2.4,3.3,7.6,2.1%,10.0%,19.9%,55.3%,26.5%
15,Jalen Lecque,PHX,20,6-4,185,None,USA,Undrafted,Undrafted,Undrafted,5,2.0,0.4,0.4,-20.2,0.0%,5.7%,18.6%,46.0%,11.8%
16,Jalen McDaniels,CHA,22,6-10,205,San Diego State,USA,2019,2,52,16,5.6,4.1,0.8,-3.6,5.0%,17.2%,13.1%,57.4%,6.9%
17,Jamal Crawford,BKN,40,6-5,200,Michigan,USA,2000,1,8,1,5.0,0.0,3.0,26.7,0.0%,0.0%,23.5%,62.5%,50.0%
18,Jamal Murray,DEN,23,6-4,215,Kentucky,Canada,2016,1,7,59,18.5,4.0,4.8,5.3,2.4%,10.1%,24.8%,55.9%,22.8%
19,James Ennis III,ORL,29,6-6,215,California State-Long Beach,USA,2013,2,50,69,6.6,3.6,0.9,0.1,5.5%,13.7%,15.1%,56.5%,6.7%
20,James Harden,HOU,30,6-5,220,Arizona State,USA,2009,1,3,68,34.3,6.6,7.5,5.8,2.6%,13.9%,35.6%,62.6%,36.6%
21,James Johnson,MIN,33,6-7,240,Wake Forest,USA,2009,1,16,32,8.4,3.7,2.3,-4.6,3.8%,14.5%,18.6%,57.2%,17.7%
22,Jared Dudley,LAL,34,6-6,237,Boston College,USA,2007,1,22,45,1.5,1.2,0.6,3.3,1.7%,11.9%,8.1%,55.8%,10.4%
23,Jared Harper,NYK,22,5-10,175,Auburn,USA,Undrafted,Undrafted,Undrafted,3,0.7,0.0,0.0,-61.1,0.0%,0.0%,22.2%,25.0%,0.0%
24,Jaren Jackson Jr.,MEM,20,6-11,242,Michigan State,USA,2018,1,4,57,17.4,4.6,1.4,-2.6,3.3%,12.0%,23.8%,59.3%,7.3%
25,Jarred Vanderbilt,MIN,21,6-9,214,Kentucky,USA,2018,2,41,11,1.1,0.8,0.2,-23.4,6.5%,14.3%,13.3%,67.6%,5.7%
26,Jarrell Brantley,UTA,24,6-5,250,College of Charleston,USA,2019,2,50,9,2.7,2.2,1.2,-17.0,1.9%,18.9%,15.5%,41.6%,19.3%
27,Jarrett Allen,BKN,22,6-11,243,Texas-Austin,USA,2017,1,22,70,11.1,9.6,1.6,0.9,10.8%,22.6%,14.8%,66.4%,8.6%
28,Jarrett Culver,MIN,21,6-6,195,Texas Tech,USA,2019,1,6,63,9.2,3.4,1.7,-3.3,4.1%,9.2%,18.7%,46.7%,10.5%
29,Jarrod Uthoff,WAS,27,6-9,220,Iowa,USA,Undrafted,Undrafted,Undrafted,7,2.7,0.9,0.0,8.1,3.2%,7.4%,14.1%,50.3%,0.0%
30,Javonte Green,BOS,26,6-4,205,Radford,USA,Undrafted,Undrafted,Undrafted,48,3.4,1.9,0.5,-2.6,5.1%,13.4%,14.9%,56.4%,7.9%
31,Jaxson Hayes,NOP,20,6-11,220,Texas-Austin,USA,2019,1,8,64,7.4,4.0,0.9,-1.8,8.5%,14.0%,14.6%,68.9%,7.4%
32,Jaylen Brown,BOS,23,6-6,223,California,USA,2016,1,3,57,20.3,6.4,2.1,6.9,3.1%,14.9%,24.5%,58.3%,9.5%
33,Jaylen Hoard,POR,21,6-8,216,Wake Forest,France,Undrafted,Undrafted,Undrafted,13,2.9,2.5,0.3,3.0,11.1%,15.8%,15.3%,50.4%,5.4%
34,Jaylen Nowell,MIN,20,6-4,201,Washington,USA,2019,2,43,15,3.8,0.9,1.3,1.2,1.6%,6.5%,16.5%,47.1%,19.4%
35,Jayson Tatum,BOS,22,6-8,210,Duke,USA,2017,1,3,66,23.4,7.0,3.0,10.6,2.7%,16.5%,28.0%,56.7%,14.3%
36,Jeff Green,HOU,33,6-8,235,Georgetown,USA,2007,1,5,48,9.4,2.8,1.0,-3.8,2.4%,10.8%,18.8%,59.0%,8.2%
37,Jeff Teague,ATL,32,6-3,195,Wake Forest,USA,2009,1,19,59,10.9,2.4,5.2,-5.7,1.7%,7.4%,19.2%,55.7%,30.6%
38,Jerami Grant,DEN,26,6-8,210,Syracuse,USA,2014,2,39,71,12.0,3.5,1.2,-2.1,3.1%,9.9%,17.7%,59.1%,6.8%
39,Jeremiah Martin,BKN,24,6-2,185,Memphis,USA,Undrafted,Undrafted,Undrafted,9,7.1,1.1,2.0,-8.4,1.0%,8.9%,26.8%,54.1%,30.0%
40,Jeremy Lamb,IND,28,6-5,180,Connecticut,USA,2012,1,12,46,12.5,4.3,2.1,-0.9,1.9%,13.5%,19.5%,54.7%,10.7%
41,Jeremy Pargo,GSW,34,6-2,219,Gonzaga,USA,2009,0,0,3,8.3,1.0,2.7,2.4,2.4%,4.8%,26.8%,55.7%,30.8%
42,Jerian Grant,WAS,27,6-4,198,Notre Dame,USA,2015,1,19,6,4.5,1.0,1.5,-3.6,2.2%,5.6%,16.6%,44.9%,16.1%
43,Jerome Robinson,WAS,23,6-4,190,Boston College,USA,2018,1,13,63,5.1,2.0,1.4,-1.0,1.2%,11.0%,15.5%,47.6%,12.3%
44,Jevon Carter,PHX,24,6-1,200,West Virginia,USA,2018,2,32,58,4.9,2.0,1.4,0.7,3.1%,9.0%,12.7%,56.3%,12.9%
45,Jimmy Butler,MIA,30,6-7,230,Marquette,USA,2011,1,30,58,19.9,6.7,6.0,5.2,5.5%,13.9%,24.6%,58.5%,28.3%
46,Joakim Noah,LAC,35,6-11,232,Florida,USA,2007,1,9,5,2.8,3.2,1.4,-14.6,9.1%,16.9%,14.0%,60.8%,25.9%
47,Joe Chealey,CHA,24,6-4,190,College of Charleston,USA,2018,,,4,0.5,0.0,0.3,-23.4,0.0%,0.0%,12.8%,12.7%,6.3%
48,Joe Harris,BKN,28,6-6,220,Virginia,USA,2014,2,33,69,14.5,4.3,2.1,0.9,2.8%,10.2%,17.9%,60.6%,10.0%
49,Joe Ingles,UTA,32,6-7,220,None,Australia,Undrafted,Undrafted,Undrafted,72,9.8,3.9,5.2,5.1,1.3%,11.2%,14.8%,59.5%,24.4%
