,Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
0,Tyler Johnson,BKN,28,6-3,186,Fresno State,USA,Undrafted,Undrafted,Undrafted,39,7.0,1.9,1.9,-5.7,2.3%,7.6%,17.7%,50.4%,15.3%
1,Tyler Zeller,SAS,30,6-11,250,North Carolina,USA,2012,1,17,2,1.0,2.0,0.0,33.3,30.0%,33.3%,26.7%,25.0%,0.0%
2,Tyrone Wallace,ATL,26,6-5,198,California,USA,2016,2,60,14,2.9,1.6,0.9,-8.3,1.6%,12.3%,15.4%,38.9%,12.3%
3,Tyson Chandler,HOU,37,7-0,235,None,USA,2001,1,2,26,1.3,2.5,0.2,5.7,9.7%,17.2%,5.7%,71.7%,3.7%
4,Tyus Jones,MEM,24,6-0,196,Duke,USA,2015,1,24,65,7.4,1.6,4.4,-2.3,0.7%,7.1%,16.5%,53.2%,31.4%
5,Udonis Haslem,MIA,40,6-8,235,Florida,USA,Undrafted,Undrafted,Undrafted,4,3.0,4.0,0.3,-20.2,2.0%,34.9%,14.7%,47.0%,4.8%
6,Vic Law,ORL,24,6-7,201,Northwestern,USA,Undrafted,Undrafted,Undrafted,8,1.9,1.4,0.4,-9.7,2.9%,14.5%,15.0%,36.3%,8.6%
7,Victor Oladipo,IND,28,6-4,213,Indiana,USA,2013,1,2,19,14.5,3.9,2.9,-1.1,1.7%,11.6%,25.9%,50.6%,15.9%
8,Vince Carter,ATL,43,6-6,220,North Carolina,USA,1998,1,5,60,5.0,2.1,0.8,-8.1,1.9%,11.4%,16.3%,47.0%,8.1%
9,Vincent Poirier,BOS,26,7-0,235,None,France,Undrafted,Undrafted,Undrafted,22,1.9,2.0,0.4,-6.5,9.0%,19.5%,14.1%,52.5%,8.8%
10,Vlatko Cancar,DEN,23,6-8,236,None,Slovenia,2017,2,49,14,1.2,0.7,0.2,-6.0,10.9%,11.9%,17.7%,50.7%,8.6%
11,Wayne Ellington,NYK,32,6-4,207,North Carolina,USA,2009,1,28,36,5.1,1.8,1.2,-3.1,0.7%,10.4%,14.6%,50.9%,11.7%
12,Wendell Carter Jr.,CHI,21,6-9,270,Duke,USA,2018,1,7,43,11.3,9.4,1.2,-0.5,10.2%,21.6%,16.2%,59.0%,6.2%
13,Wenyen Gabriel,POR,23,6-9,205,Kentucky,South Sudan,Undrafted,Undrafted,Undrafted,30,2.1,1.7,0.3,-7.2,8.0%,14.8%,12.4%,54.6%,4.6%
14,Wes Iwundu,ORL,25,6-6,195,Kansas State,USA,2017,2,33,52,5.8,2.5,1.2,-0.5,2.3%,10.9%,13.4%,54.4%,8.9%
15,Wesley Matthews,MIL,33,6-4,220,Marquette,USA,Undrafted,Undrafted,Undrafted,67,7.4,2.5,1.4,12.2,1.3%,7.3%,12.3%,54.7%,7.0%
16,Will Barton,DEN,29,6-5,181,Memphis,USA,2012,2,40,58,15.1,6.3,3.7,5.8,4.0%,14.7%,19.7%,54.9%,15.7%
17,William Howard,HOU,26,6-8,207,None,France,Undrafted,Undrafted,Undrafted,2,0.0,1.0,0.5,-51.3,0.0%,25.0%,15.2%,0.0%,20.0%
18,Willie Cauley-Stein,DAL,26,7-0,240,Kentucky,USA,2015,1,6,54,7.2,5.8,1.3,-5.5,7.2%,20.2%,14.4%,58.9%,9.8%
19,Willy Hernangomez,CHA,26,6-11,250,None,Spain,2015,2,35,31,6.1,4.3,0.9,-2.6,10.5%,24.3%,22.2%,57.6%,13.6%
20,Wilson Chandler,BKN,33,6-8,235,DePaul,USA,2007,1,23,35,5.9,4.1,1.1,-6.4,1.4%,16.4%,12.8%,53.1%,8.0%
21,Yogi Ferrell,SAC,27,6-0,178,Indiana,USA,Undrafted,Undrafted,Undrafted,50,4.4,1.0,1.4,-1.8,1.1%,8.5%,18.5%,52.8%,19.6%
22,Yuta Watanabe,MEM,25,6-8,215,George Washington,Japan,Undrafted,Undrafted,Undrafted,18,2.0,1.1,0.3,4.0,5.9%,11.8%,14.9%,48.0%,6.6%
23,Zach Collins,POR,22,6-11,250,Gonzaga,USA,2017,1,10,11,7.0,6.3,1.5,6.5,9.5%,14.9%,12.6%,53.8%,6.7%
24,Zach LaVine,CHI,25,6-6,200,UCLA,USA,2014,1,13,60,25.5,4.8,4.2,-4.4,1.9%,12.5%,31.2%,56.8%,21.8%
25,Zach Norvell Jr.,GSW,22,6-5,205,Gonzaga,USA,2019,,,5,2.0,1.2,0.6,-32.3,0.0%,20.7%,14.7%,40.2%,9.1%
26,Zhaire Smith,PHI,21,6-3,205,Texas Tech,USA,2018,1,16,7,1.1,0.3,0.3,-12.3,0.0%,8.0%,16.5%,31.3%,8.3%
27,Zion Williamson,NOP,19,6-6,284,Duke,USA,2019,1,1,24,22.5,6.3,2.1,5.1,9.2%,11.4%,29.1%,61.6%,11.9%
28,Zylan Cheatham,NOP,24,6-5,220,Arizona State,USA,Undrafted,Undrafted,Undrafted,4,3.0,2.3,0.8,-23.9,6.2%,12.8%,10.3%,66.7%,9.4%
