,Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
0,Bruno Caboclo,HOU,24,6-9,218,None,Brazil,2014,1,20,30,3.0,2.0,0.4,-5.1,8.1%,14.5%,17.0%,48.4%,7.6%
1,Bruno Fernando,ATL,21,6-9,240,Maryland,Angola,2019,2,34,56,4.3,3.5,0.9,-5.6,8.5%,17.9%,14.7%,54.2%,10.1%
2,Bryn Forbes,SAS,26,6-2,205,Michigan State,USA,Undrafted,Undrafted,Undrafted,63,11.2,2.0,1.7,-6.8,0.7%,7.1%,18.5%,57.0%,9.7%
3,Buddy Hield,SAC,27,6-4,220,Oklahoma,Bahamas,2016,1,6,72,19.2,4.6,3.0,-3.1,2.5%,12.4%,26.3%,56.6%,15.3%
4,CJ McCollum,POR,28,6-3,190,Lehigh,USA,2013,1,10,70,22.2,4.2,4.4,0.5,1.7%,9.0%,25.7%,54.1%,18.5%
5,CJ Miles,WAS,33,6-6,220,None,USA,2005,2,34,10,6.4,1.2,1.2,-1.3,2.1%,5.0%,16.9%,47.2%,9.1%
6,Caleb Martin,CHA,24,6-5,205,Nevada-Reno,USA,Undrafted,Undrafted,Undrafted,18,6.2,2.1,1.3,0.8,3.0%,8.6%,15.2%,59.5%,12.2%
7,Caleb Swanigan,POR,23,6-9,260,Purdue,USA,2017,1,26,27,2.4,3.7,1.1,-6.5,9.9%,24.8%,13.2%,59.7%,13.8%
8,Cam Reddish,ATL,20,6-8,218,Duke,USA,2019,1,10,58,10.5,3.7,1.5,-6.3,2.1%,11.0%,18.5%,50.0%,7.9%
9,Cameron Johnson,PHX,24,6-8,210,North Carolina,USA,2019,1,11,57,8.8,3.3,1.2,1.0,3.7%,10.9%,15.1%,58.6%,7.8%
10,Cameron Payne,PHX,25,6-1,183,Murray State,USA,2015,1,14,8,10.9,3.9,3.0,23.1,2.3%,13.1%,18.2%,61.2%,18.2%
11,Caris LeVert,BKN,25,6-6,205,Michigan,USA,2016,1,20,45,18.7,4.2,4.4,0.2,3.4%,9.6%,28.4%,51.4%,24.2%
12,Carmelo Anthony,POR,36,6-8,238,Syracuse,USA,2003,1,3,58,15.4,6.3,1.5,0.6,3.6%,14.5%,21.4%,52.5%,6.3%
13,Carsen Edwards,BOS,22,5-11,200,Purdue,USA,2019,2,33,37,3.3,1.3,0.6,-5.5,1.4%,10.7%,17.1%,44.4%,11.1%
14,Cedi Osman,CLE,25,6-7,230,None,Turkey,2015,2,31,65,11.0,3.6,2.4,-9.0,2.0%,10.3%,16.2%,55.2%,11.5%
15,Chandler Hutchison,CHI,24,6-7,210,Boise State,USA,2018,1,22,28,7.8,3.9,0.9,-11.9,3.2%,18.0%,18.3%,52.1%,7.7%
16,Chandler Parsons,ATL,31,6-9,230,Florida,USA,2011,2,38,5,2.8,1.4,0.6,-29.0,1.5%,12.0%,15.0%,38.9%,10.0%
17,Charlie Brown Jr.,ATL,23,6-6,199,St. Joseph's (PA),USA,Undrafted,Undrafted,Undrafted,10,2.0,0.4,0.2,33.9,4.0%,4.8%,23.1%,47.2%,7.7%
18,Chasson Randle,GSW,27,6-2,185,Stanford,USA,2015,,,3,1.7,0.7,1.7,-2.0,0.0%,5.3%,8.0%,37.7%,16.1%
19,Cheick Diallo,PHX,23,6-8,219,Kansas,Mali,2016,2,33,47,4.7,2.8,0.5,-3.8,6.3%,20.8%,16.9%,68.8%,7.6%
20,Chimezie Metu,SAS,23,6-9,225,Southern California,USA,2018,2,49,18,3.2,1.8,0.6,-6.7,10.3%,18.6%,21.8%,60.8%,16.4%
21,Chris Boucher,TOR,27,6-9,200,Oregon,Saint Lucia,Undrafted,Undrafted,Undrafted,62,6.6,4.5,0.4,5.7,12.1%,18.5%,18.5%,58.7%,4.9%
22,Chris Chiozza,BKN,24,5-11,175,Florida,USA,Undrafted,Undrafted,Undrafted,28,5.1,1.9,3.0,9.3,2.0%,10.2%,17.5%,49.9%,29.5%
23,Chris Clemons,HOU,22,5-9,180,Campbell University,USA,Undrafted,Undrafted,Undrafted,33,4.9,0.9,0.8,-8.8,1.2%,8.0%,23.5%,54.8%,16.2%
24,Chris Paul,OKC,35,6-1,175,Wake Forest,USA,2005,1,4,70,17.6,5.0,6.7,6.9,1.2%,14.3%,22.8%,61.0%,32.4%
25,Chris Silva,MIA,23,6-8,234,South Carolina,Gabon,Undrafted,Undrafted,Undrafted,44,3.0,2.9,0.5,-6.0,16.2%,18.4%,15.5%,65.1%,10.3%
26,Christian Wood,DET,24,6-10,214,UNLV,USA,Undrafted,Undrafted,Undrafted,62,13.1,6.3,1.0,2.0,7.9%,21.4%,22.3%,65.9%,7.4%
27,Clint Capela,ATL,26,6-10,240,None,Switzerland,2014,1,25,39,13.9,13.8,1.2,2.5,11.8%,26.5%,15.6%,62.6%,5.6%
28,Coby White,CHI,20,6-4,195,North Carolina,USA,2019,1,7,65,13.2,3.5,2.7,-4.4,1.5%,12.8%,23.5%,50.6%,16.2%
29,Cody Martin,CHA,24,6-5,205,Nevada-Reno,USA,2019,2,36,48,5.0,3.3,2.0,-3.2,3.9%,14.0%,13.1%,50.5%,15.4%
30,Cody Zeller,CHA,27,7-0,240,Indiana,USA,2013,1,4,58,11.1,7.1,1.5,-8.3,11.0%,19.7%,20.1%,57.6%,11.1%
31,Collin Sexton,CLE,21,6-1,190,Alabama,USA,2018,1,8,65,20.8,3.1,3.0,-9.2,2.8%,6.9%,26.4%,56.0%,14.6%
32,Corey Brewer,SAC,34,6-9,188,Florida,USA,2007,1,7,5,1.0,1.6,0.4,11.2,6.1%,20.0%,8.5%,47.0%,6.3%
33,Cory Joseph,SAC,28,6-3,200,Texas-Austin,Canada,2011,1,29,72,6.4,2.6,3.5,-0.3,2.4%,8.2%,12.7%,51.7%,19.9%
34,Courtney Lee,DAL,34,6-5,215,Western Kentucky,USA,2008,1,22,24,4.5,1.3,0.5,6.7,1.9%,7.0%,11.6%,62.9%,4.4%
35,Cristiano Felicio,CHI,27,6-10,270,None,Brazil,Undrafted,Undrafted,Undrafted,22,3.9,4.6,0.7,-7.7,14.4%,13.9%,8.8%,67.1%,5.3%
36,D'Angelo Russell,MIN,24,6-4,193,Ohio State,USA,2015,1,2,45,23.1,3.9,6.3,-8.1,1.1%,10.7%,30.5%,55.6%,32.7%
37,D.J. Augustin,ORL,32,5-11,183,Texas-Austin,USA,2008,1,9,57,10.5,2.1,4.6,1.5,1.5%,6.7%,18.4%,55.4%,28.1%
38,D.J. Wilson,MIL,24,6-10,231,Michigan,USA,2017,1,17,37,3.6,2.5,0.7,-6.3,3.1%,18.1%,17.5%,47.5%,10.4%
39,DaQuan Jeffries,SAC,22,6-5,230,Tulsa,USA,Undrafted,Undrafted,Undrafted,13,3.8,1.4,0.5,3.0,2.1%,10.5%,12.9%,58.6%,6.0%
40,Damian Jones,ATL,25,6-11,245,Vanderbilt,USA,2016,1,30,55,5.6,3.7,0.6,-12.6,8.0%,15.3%,11.3%,71.2%,5.7%
41,Damian Lillard,POR,29,6-2,195,Weber State,USA,2012,1,6,66,30.0,4.3,8.0,1.4,1.3%,9.2%,29.4%,62.7%,33.5%
42,Damion Lee,GSW,27,6-5,210,Drexel,USA,Undrafted,Undrafted,Undrafted,49,12.7,4.9,2.7,-4.1,2.1%,14.4%,18.4%,54.8%,13.9%
43,Damyean Dotson,NYK,26,6-5,210,Houston,USA,2017,2,44,48,6.7,1.9,1.2,-5.3,1.1%,9.1%,15.8%,52.7%,10.5%
44,Daniel Gafford,CHI,21,6-10,234,Arkansas,USA,2019,2,38,43,5.1,2.5,0.5,-1.9,8.1%,9.2%,13.1%,68.6%,5.1%
45,Daniel Theis,BOS,28,6-8,245,None,Germany,Undrafted,Undrafted,Undrafted,65,9.2,6.6,1.7,7.0,8.6%,17.2%,14.4%,63.1%,10.4%
46,Danilo Gallinari,OKC,31,6-10,233,None,Italy,2008,1,6,62,18.7,5.2,1.9,5.7,2.0%,15.7%,24.2%,61.2%,9.9%
47,Danny Green,LAL,33,6-6,215,North Carolina,USA,2009,2,46,68,8.0,3.3,1.3,6.4,3.0%,10.0%,13.5%,55.2%,6.9%
48,Dante Exum,CLE,24,6-5,214,None,Australia,2014,1,5,35,4.5,1.9,1.1,-8.8,2.4%,10.9%,14.5%,57.6%,12.4%
49,Danuel House Jr.,HOU,27,6-6,220,Texas A&M,USA,Undrafted,Undrafted,Undrafted,63,10.5,4.2,1.3,3.3,2.7%,10.1%,13.5%,57.2%,6.1%
