,Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
39,Tremont Waters,BOS,22,5-10,175,Louisiana State,USA,2019,2,51,11,3.6,1.1,1.5,8.4,0.0%,8.9%,23.2%,38.1%,19.5%
40,Treveon Graham,ATL,26,6-5,219,Va Commonwealth,USA,Undrafted,Undrafted,Undrafted,55,4.4,2.7,0.8,-6.2,5.0%,9.9%,13.0%,45.6%,6.9%
41,Trevor Ariza,POR,35,6-8,215,UCLA,USA,2004,2,43,53,8.0,4.6,1.7,-0.3,2.2%,13.7%,11.7%,59.3%,8.1%
42,Trey Burke,DAL,27,6-0,185,Michigan,USA,2013,1,9,33,7.4,1.5,2.5,2.0,3.0%,6.6%,19.6%,54.8%,23.4%
43,Trey Lyles,SAS,24,6-9,234,Kentucky,Canada,2015,1,12,63,6.4,5.7,1.1,-2.4,5.6%,22.8%,13.6%,55.7%,7.2%
44,Tristan Thompson,CLE,29,6-9,254,Texas-Austin,Canada,2011,1,4,57,12.0,10.1,2.1,-10.1,12.6%,20.7%,18.1%,54.0%,10.6%
45,Troy Brown Jr.,WAS,20,6-6,215,Oregon,USA,2018,1,15,69,10.4,5.6,2.6,-5.5,4.0%,17.1%,17.4%,52.4%,14.2%
46,Troy Daniels,DEN,28,6-4,200,Va Commonwealth,USA,Undrafted,Undrafted,Undrafted,47,4.3,1.1,0.4,0.4,2.0%,6.8%,15.5%,51.8%,4.7%
47,Ty Jerome,PHX,22,6-5,195,Virginia,USA,2019,1,24,31,3.3,1.5,1.4,-13.5,1.9%,12.0%,17.0%,42.5%,22.2%
48,Tyler Cook,DEN,22,6-8,255,Iowa,USA,Undrafted,Undrafted,Undrafted,13,1.8,1.1,0.1,-9.8,10.3%,14.8%,15.0%,74.1%,3.1%
49,Tyler Herro,MIA,20,6-5,195,Kentucky,USA,2019,1,13,55,13.5,4.1,2.2,-1.7,1.1%,13.1%,21.3%,55.0%,13.1%
