,Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
0,Kevin Hervey,OKC,23,6-9,230,Texas-Arlington,USA,2018,2,57,10,1.7,1.2,0.5,-28.9,1.2%,21.6%,18.9%,31.5%,19.2%
1,Kevin Huerter,ATL,21,6-7,190,Maryland,USA,2018,1,19,56,12.2,4.1,3.8,-6.1,1.9%,10.6%,16.9%,53.6%,17.1%
2,Kevin Knox II,NYK,20,6-7,215,Kentucky,USA,2018,1,9,65,6.4,2.8,0.9,-7.3,2.1%,12.8%,17.2%,47.0%,7.6%
3,Kevin Love,CLE,31,6-8,251,UCLA,USA,2008,1,5,56,17.6,9.8,3.2,-8.0,3.0%,28.6%,22.5%,59.9%,15.0%
4,Kevin Porter Jr.,CLE,20,6-4,203,Southern California,USA,2019,1,30,50,10.0,3.2,2.2,-11.2,1.8%,12.1%,20.2%,53.5%,14.7%
5,Kevon Looney,GSW,24,6-9,222,UCLA,USA,2015,1,30,20,3.4,3.3,1.0,-18.3,9.8%,15.1%,14.7%,40.3%,12.0%
6,Khem Birch,ORL,27,6-9,233,UNLV,Canada,Undrafted,Undrafted,Undrafted,48,4.4,4.6,1.0,-7.1,8.9%,14.4%,10.1%,56.6%,7.9%
7,Khris Middleton,MIL,28,6-7,222,Texas A&M,USA,2012,2,39,62,20.9,6.2,4.3,12.4,2.3%,15.7%,26.0%,61.9%,21.2%
8,Khyri Thomas,DET,24,6-3,210,Creighton,USA,2018,2,38,8,2.1,0.1,0.4,-28.7,1.2%,0.0%,14.9%,45.3%,9.7%
9,Kostas Antetokounmpo,LAL,22,6-10,200,Dayton,Greece,2018,2,60,5,1.4,0.6,0.4,19.6,9.5%,5.0%,9.6%,90.2%,10.0%
10,Kris Dunn,CHI,26,6-3,205,Providence,USA,2016,1,5,51,7.3,3.6,3.4,-0.1,1.7%,13.2%,14.5%,51.0%,19.8%
11,Kristaps Porzingis,DAL,24,7-3,240,None,Latvia,2015,1,4,57,20.4,9.5,1.8,6.9,5.2%,22.1%,26.3%,55.1%,8.8%
12,Ky Bowman,GSW,23,6-1,187,Boston College,USA,Undrafted,Undrafted,Undrafted,45,7.4,2.7,2.9,-8.4,2.2%,9.3%,16.8%,49.4%,20.2%
13,Kyle Alexander,MIA,23,6-10,216,Tennessee,Canada,Undrafted,Undrafted,Undrafted,2,1.0,1.5,0.0,-6.7,11.1%,6.7%,7.9%,50.0%,0.0%
14,Kyle Anderson,MEM,26,6-9,230,UCLA,USA,2014,1,30,67,5.8,4.3,2.4,-3.0,4.2%,15.1%,13.4%,53.4%,16.3%
15,Kyle Guy,SAC,22,6-1,167,Virginia,USA,2019,2,55,3,1.3,0.3,0.3,-45.8,0.0%,9.1%,20.0%,40.0%,12.5%
16,Kyle Korver,MIL,39,6-7,212,Creighton,USA,2003,2,51,58,6.7,2.1,1.2,5.4,1.4%,9.1%,14.5%,62.0%,9.2%
17,Kyle Kuzma,LAL,24,6-8,221,Utah,USA,2017,1,27,61,12.8,4.5,1.3,4.9,3.3%,13.5%,22.1%,53.1%,7.6%
18,Kyle Lowry,TOR,34,6-0,196,Villanova,USA,2006,1,24,58,19.4,5.0,7.5,6.0,1.5%,11.5%,22.5%,59.0%,30.9%
19,Kyle O'Quinn,PHI,30,6-9,250,Norfolk State,USA,2012,2,49,29,3.5,4.0,1.8,-4.9,9.9%,26.5%,14.8%,54.4%,22.5%
20,Kyrie Irving,BKN,28,6-2,195,Duke,Australia,2011,1,1,20,27.4,5.2,6.4,-0.4,3.2%,12.0%,31.8%,59.5%,33.1%
21,LaMarcus Aldridge,SAS,34,6-11,250,Texas-Austin,USA,2006,1,2,53,18.9,7.4,2.4,-3.2,5.8%,16.2%,23.6%,57.1%,11.7%
22,Lance Thomas,BKN,32,6-8,225,Duke,USA,Undrafted,Undrafted,Undrafted,7,3.4,1.9,0.9,-24.2,1.9%,14.1%,13.0%,48.5%,7.8%
23,Landry Shamet,LAC,23,6-4,190,Wichita State,USA,2018,1,26,53,9.3,1.9,1.9,4.3,0.4%,5.8%,13.2%,58.0%,9.0%
24,Langston Galloway,DET,28,6-1,200,St. Joseph's (PA),USA,Undrafted,Undrafted,Undrafted,66,10.3,2.3,1.5,-4.4,1.9%,6.8%,14.9%,58.4%,8.9%
25,Larry Nance Jr.,CLE,27,6-7,245,Wyoming,USA,2015,1,27,56,10.1,7.3,2.2,-5.1,6.8%,20.9%,15.0%,60.8%,12.6%
26,Lauri Markkanen,CHI,23,7-0,240,Arizona,Finland,2017,1,7,50,14.7,6.3,1.5,-2.0,3.8%,17.4%,20.9%,56.0%,7.7%
27,LeBron James,LAL,35,6-9,250,None,USA,2003,1,1,67,25.3,7.8,10.2,8.5,2.8%,19.1%,30.8%,57.7%,47.7%
28,Lonnie Walker IV,SAS,21,6-5,204,Miami,USA,2018,1,18,61,6.4,2.3,1.1,-0.4,2.3%,11.0%,18.3%,50.7%,9.9%
29,Lonzo Ball,NOP,22,6-6,190,UCLA,USA,2017,1,2,63,11.8,6.1,7.0,-0.7,3.2%,14.2%,18.1%,51.7%,29.2%
30,Lou Williams,LAC,33,6-1,175,None,USA,2005,2,45,65,18.2,3.1,5.6,4.0,1.6%,8.1%,27.1%,54.6%,29.4%
31,Louis King,DET,21,6-7,205,Oregon,USA,Undrafted,Undrafted,Undrafted,10,2.0,1.0,0.5,11.0,1.5%,14.1%,16.3%,44.8%,12.5%
32,Luc Mbah a Moute,HOU,33,6-8,230,UCLA,Cameroon,2008,2,37,3,1.7,0.7,0.0,-11.3,3.3%,3.7%,10.8%,42.5%,0.0%
33,Luguentz Dort,OKC,21,6-3,215,Arizona State,Canada,Undrafted,Undrafted,Undrafted,36,6.8,2.3,0.8,4.4,3.0%,6.6%,13.9%,50.6%,4.5%
34,Luka Doncic,DAL,21,6-7,230,None,Slovenia,2018,1,3,61,28.8,9.4,8.8,5.3,3.6%,22.4%,35.5%,58.5%,45.4%
35,Luka Samanic,SAS,20,6-10,227,None,Croatia,2019,1,19,3,5.3,3.3,2.0,8.8,2.0%,16.7%,17.9%,45.0%,18.2%
36,Luke Kennard,DET,24,6-5,206,Duke,USA,2017,1,12,28,15.8,3.5,4.1,-2.1,1.0%,9.5%,19.3%,58.9%,18.8%
37,Luke Kornet,CHI,24,7-2,250,Vanderbilt,USA,Undrafted,Undrafted,Undrafted,36,6.0,2.3,0.9,-3.6,3.7%,11.8%,16.3%,53.9%,8.2%
38,Malcolm Brogdon,IND,27,6-5,229,Virginia,USA,2016,2,36,54,16.5,4.9,7.1,2.3,2.8%,12.4%,24.9%,54.1%,35.0%
39,Malcolm Miller,TOR,27,6-7,210,Holy Cross,USA,Undrafted,Undrafted,Undrafted,28,1.3,0.6,0.4,15.9,1.3%,7.7%,9.0%,53.8%,8.2%
40,Malik Beasley,MIN,23,6-4,187,Florida State,USA,2016,1,19,55,11.2,2.7,1.4,-1.9,1.4%,10.7%,20.8%,54.6%,9.3%
41,Malik Monk,CHA,22,6-3,200,Kentucky,USA,2017,1,11,55,10.3,2.9,2.1,-10.5,2.1%,10.8%,22.0%,53.0%,16.8%
42,Malik Newman,CLE,23,6-3,190,Kansas,USA,2018,,,1,2.0,0.0,0.0,-30.4,0.0%,0.0%,57.1%,34.7%,0.0%
43,Marc Gasol,TOR,35,6-11,255,None,Spain,2007,2,48,44,7.5,6.3,3.3,10.1,2.7%,18.7%,13.3%,55.1%,17.3%
44,Marco Belinelli,SAS,34,6-5,220,None,Italy,2007,1,18,57,6.3,1.7,1.2,1.5,0.8%,9.7%,16.6%,53.2%,10.2%
45,Marcus Morris Sr.,LAC,30,6-8,218,Kansas,USA,2011,1,14,62,16.7,5.0,1.4,1.5,2.9%,12.8%,21.6%,57.0%,6.6%
46,Marcus Smart,BOS,26,6-3,220,Oklahoma State,USA,2014,1,6,60,12.9,3.8,4.9,7.3,2.0%,8.9%,18.3%,51.8%,21.4%
47,Marial Shayok,PHI,24,6-5,198,Iowa State,Canada,2019,2,54,4,2.8,1.8,0.3,-23.2,3.3%,19.4%,24.3%,40.0%,5.3%
48,Mario Hezonja,POR,25,6-8,220,None,Croatia,2015,1,5,53,4.8,3.5,0.9,-9.5,3.2%,15.8%,13.5%,52.5%,8.0%
49,Markelle Fultz,ORL,22,6-3,209,Washington,USA,2017,1,1,72,12.1,3.3,5.1,-1.7,2.0%,10.0%,21.0%,51.7%,27.3%
