,Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
18,Furkan Korkmaz,PHI,22,6-7,202,None,Turkey,2016,1,26,72,9.8,2.3,1.1,2.7,1.1%,9.3%,17.7%,57.9%,7.3%
19,Gabe Vincent,MIA,24,6-3,200,California-Santa Barbara,USA,Undrafted,Undrafted,Undrafted,9,2.4,0.6,0.7,-15.9,0.0%,5.3%,19.6%,29.7%,12.0%
20,Garrett Temple,BKN,34,6-5,195,Louisiana State,USA,Undrafted,Undrafted,Undrafted,62,10.3,3.5,2.5,-1.4,1.5%,9.6%,16.2%,51.3%,13.2%
21,Garrison Mathews,WAS,23,6-5,215,Lipscomb,USA,Undrafted,Undrafted,Undrafted,18,5.4,1.3,0.6,7.1,2.5%,7.5%,13.7%,69.1%,6.3%
22,Gary Clark,ORL,25,6-6,225,Cincinnati,USA,Undrafted,Undrafted,Undrafted,42,3.7,2.6,0.4,-5.1,5.8%,11.6%,10.5%,56.8%,4.3%
23,Gary Harris,DEN,25,6-4,210,Michigan State,USA,2014,1,19,56,10.4,2.9,2.1,3.4,1.5%,7.7%,15.0%,51.9%,9.1%
24,Gary Payton II,WAS,27,6-3,195,Oregon State,USA,Undrafted,Undrafted,Undrafted,29,3.9,2.8,1.7,-14.3,5.3%,12.7%,12.9%,47.3%,15.8%
25,Gary Trent Jr.,POR,21,6-5,209,Duke,USA,2018,2,37,61,8.9,1.6,1.0,-1.4,1.7%,5.2%,15.0%,58.7%,6.4%
26,George Hill,MIL,34,6-3,188,Indiana-Purdue Indianapolis,USA,2008,1,26,59,9.4,3.0,3.1,10.6,3.8%,8.6%,15.2%,65.9%,19.6%
27,Georges Niang,UTA,27,6-7,230,Iowa State,USA,2016,2,50,66,5.9,1.9,0.7,-1.1,1.5%,11.7%,16.3%,58.9%,6.9%
28,Giannis Antetokounmpo,MIL,25,6-11,242,None,Greece,2013,1,15,63,29.5,13.6,5.6,15.4,6.8%,30.7%,36.3%,61.3%,32.8%
29,Glenn Robinson III,PHI,26,6-6,222,Michigan,USA,2014,2,40,62,11.7,4.4,1.5,-7.8,4.3%,10.6%,16.0%,57.7%,8.1%
30,Goga Bitadze,IND,20,6-11,250,None,Georgia,2019,1,18,54,3.2,2.0,0.4,-1.4,5.2%,14.6%,17.0%,52.3%,6.6%
31,Goran Dragic,MIA,34,6-3,190,None,Slovenia,2008,2,45,59,16.2,3.2,5.1,3.5,1.7%,9.0%,24.8%,57.3%,29.7%
32,Gordon Hayward,BOS,30,6-7,225,Butler,USA,2010,1,9,52,17.5,6.7,4.1,8.5,3.1%,15.9%,20.6%,59.5%,17.8%
33,Gorgui Dieng,MEM,30,6-10,252,Louisville,Senegal,2013,1,21,63,7.4,5.6,1.2,-3.6,7.4%,22.1%,17.5%,56.8%,10.7%
34,Grant Williams,BOS,21,6-6,236,Tennessee,USA,2019,1,22,69,3.4,2.6,1.0,6.3,5.3%,10.6%,11.2%,50.5%,8.5%
35,Grayson Allen,MEM,24,6-4,198,Duke,USA,2018,1,21,38,8.7,2.2,1.4,-6.0,1.0%,10.3%,17.1%,60.9%,10.4%
36,Hamidou Diallo,OKC,21,6-5,202,Kentucky,USA,2018,2,45,46,6.9,3.6,0.8,0.9,4.6%,12.4%,17.3%,49.1%,6.0%
37,Harrison Barnes,SAC,28,6-8,225,North Carolina,USA,2012,1,7,72,14.5,4.9,2.2,-2.5,3.0%,11.1%,17.2%,57.4%,9.2%
38,Harry Giles III,SAC,22,6-11,240,Duke,USA,2017,1,20,46,6.9,4.1,1.3,-8.2,6.5%,24.1%,20.6%,58.0%,13.5%
39,Hassan Whiteside,POR,31,7-0,265,Marshall,USA,2010,2,33,67,15.5,13.5,1.2,2.7,12.3%,29.4%,19.2%,64.4%,5.8%
40,Henry Ellenson,BKN,23,6-10,240,Marquette,USA,2016,1,18,5,0.4,1.2,0.2,27.3,11.1%,19.0%,15.9%,14.3%,12.5%
41,Ian Mahinmi,WAS,33,6-11,262,None,France,2005,1,28,38,7.4,5.7,1.3,-4.5,8.9%,17.6%,15.4%,54.5%,8.4%
42,Ignas Brazdeikis,NYK,21,6-6,221,Michigan,Canada,2019,2,47,9,1.9,0.6,0.4,-7.1,3.6%,6.8%,21.8%,35.1%,11.4%
43,Iman Shumpert,BKN,30,6-5,212,Georgia Tech,USA,2011,1,17,13,4.2,2.6,0.9,-9.0,3.5%,9.2%,13.4%,40.3%,7.8%
44,Isaac Bonga,WAS,20,6-8,180,None,Germany,2018,2,39,66,5.0,3.4,1.2,-0.4,5.2%,12.1%,10.6%,60.8%,8.1%
45,Isaiah Hartenstein,HOU,22,7-0,250,None,Germany,2017,2,43,23,4.7,3.9,0.8,8.7,10.7%,20.0%,14.4%,67.4%,9.5%
46,Isaiah Roby,OKC,22,6-8,230,Nebraska-Lincoln,USA,2019,2,45,3,0.0,0.7,0.0,-11.5,0.0%,16.7%,7.1%,0.0%,0.0%
47,Isaiah Thomas,WAS,31,5-9,185,Washington,USA,2011,2,60,40,12.2,1.7,3.7,-10.4,1.1%,6.3%,23.6%,53.1%,22.4%
48,Ish Smith,WAS,31,6-0,175,Wake Forest,USA,Undrafted,Undrafted,Undrafted,68,10.9,3.2,4.9,-3.9,1.5%,10.3%,18.6%,50.9%,26.6%
49,Ivica Zubac,LAC,23,7-0,240,None,Croatia,2016,2,32,72,8.3,7.5,1.1,8.9,14.0%,24.0%,16.3%,65.1%,9.1%
