,Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
0,Ed Davis,UTA,31,6-9,218,North Carolina,USA,2010,1,13,28,1.8,3.8,0.4,-15.2,10.7%,23.4%,9.2%,48.9%,6.2%
1,Edmond Sumner,IND,24,6-4,196,Xavier,USA,2017,2,52,31,4.9,1.5,1.8,-2.6,2.4%,7.3%,16.7%,49.1%,16.7%
2,Elfrid Payton,NYK,26,6-3,195,Louisana-Lafayette,USA,2014,1,10,45,10.0,4.7,7.2,-3.0,3.9%,12.6%,19.0%,47.0%,34.7%
3,Elie Okobo,PHX,22,6-3,190,None,France,2018,2,31,55,4.0,1.6,2.1,-3.2,2.2%,10.2%,14.7%,51.6%,22.7%
4,Emmanuel Mudiay,UTA,24,6-3,200,None,Democratic Re...,2015,1,7,54,7.3,2.3,2.1,-2.0,2.1%,11.7%,21.8%,54.3%,21.2%
5,Enes Kanter,BOS,28,6-10,250,None,Turkey,2011,1,3,58,8.1,7.4,1.0,9.9,15.8%,25.7%,18.6%,59.9%,8.4%
6,Eric Bledsoe,MIL,30,6-1,214,Kentucky,USA,2010,1,18,61,14.9,4.6,5.4,11.8,2.5%,12.1%,23.3%,57.1%,27.5%
7,Eric Gordon,HOU,31,6-3,215,Indiana,USA,2008,1,7,36,14.4,2.0,1.5,0.4,0.8%,5.6%,21.5%,51.0%,8.0%
8,Eric Mika,SAC,25,6-10,233,Brigham Young,USA,2017,,,1,6.0,7.0,0.0,19.5,11.1%,26.3%,8.9%,77.3%,0.0%
9,Eric Paschall,GSW,23,6-6,255,Villanova,USA,2019,2,41,60,14.0,4.6,2.1,-10.6,4.7%,11.6%,20.7%,57.1%,12.6%
10,Ersan Ilyasova,MIL,33,6-9,235,None,Turkey,2005,2,36,63,6.6,4.8,0.8,4.2,5.9%,21.2%,15.8%,58.9%,6.5%
11,Evan Fournier,ORL,27,6-7,205,None,France,2012,1,20,66,18.5,2.6,3.2,-1.8,0.8%,7.4%,23.7%,59.5%,16.0%
12,Evan Turner,MIN,31,6-6,220,Ohio State,USA,2010,1,2,19,3.3,2.0,2.0,-11.4,2.8%,10.7%,15.4%,42.4%,23.5%
13,Frank Jackson,NOP,22,6-3,205,Duke,USA,2017,2,31,59,6.3,1.4,1.0,-3.4,2.5%,7.0%,20.3%,51.0%,10.7%
14,Frank Kaminsky,PHX,27,7-0,240,Wisconsin,USA,2015,1,9,39,9.7,4.5,1.9,-1.0,4.3%,17.9%,20.4%,54.5%,14.4%
15,Frank Mason,MIL,26,5-11,190,Kansas,USA,2017,2,34,9,6.9,2.1,3.2,-1.8,3.4%,9.7%,22.8%,53.0%,37.2%
16,Frank Ntilikina,NYK,21,6-4,200,None,France,2017,1,8,57,6.3,2.1,3.0,-3.9,1.8%,8.2%,15.2%,49.7%,20.9%
17,Fred VanVleet,TOR,26,6-1,197,Wichita State,USA,Undrafted,Undrafted,Undrafted,54,17.6,3.8,6.6,4.8,0.9%,8.8%,21.8%,55.3%,28.1%
