,Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
0,Markieff Morris,LAL,30,6-8,245,Kansas,USA,2011,1,13,58,9.7,3.8,1.3,-5.8,3.3%,14.4%,20.2%,56.5%,10.0%
1,Marko Guduric,MEM,25,6-6,201,None,Serbia,Undrafted,Undrafted,Undrafted,44,3.9,1.7,1.0,-2.6,2.8%,11.5%,16.8%,51.4%,12.7%
2,Marques Bolden,CLE,22,6-10,249,Duke,USA,2019,,,1,0.0,2.0,0.0,57.1,0.0%,50.0%,0.0%,0.0%,0.0%
3,Marquese Chriss,GSW,22,6-9,240,Washington,USA,2016,1,8,59,9.3,6.2,1.9,-9.5,8.9%,21.2%,18.4%,60.4%,15.0%
4,Marvin Bagley III,SAC,21,6-11,235,Duke,USA,2018,1,2,13,14.2,7.5,0.8,-12.6,8.2%,20.1%,24.8%,51.2%,5.0%
5,Marvin Williams,MIL,34,6-8,237,North Carolina,USA,2005,1,2,58,5.9,3.2,1.0,-2.8,2.5%,13.2%,12.0%,58.7%,7.6%
6,Mason Plumlee,DEN,30,6-11,254,Duke,USA,2013,1,22,61,7.2,5.2,2.5,-1.0,8.7%,19.5%,17.3%,61.3%,21.0%
7,Matisse Thybulle,PHI,23,6-5,201,Washington,USA,2019,1,20,65,4.7,1.6,1.2,2.4,3.3%,4.9%,10.8%,53.9%,8.1%
8,Matt Mooney,CLE,23,6-2,199,Texas Tech,USA,Undrafted,Undrafted,Undrafted,4,0.5,0.8,0.3,17.5,0.0%,15.8%,8.0%,25.0%,7.1%
9,Matt Thomas,TOR,25,6-4,190,Iowa State,USA,Undrafted,Undrafted,Undrafted,41,4.9,1.5,0.5,4.2,1.8%,10.0%,15.2%,65.0%,7.6%
10,Matthew Dellavedova,CLE,29,6-3,200,St.Mary's College of California,Australia,Undrafted,Undrafted,Undrafted,57,3.1,1.3,3.2,-1.2,2.2%,6.7%,12.8%,46.3%,29.7%
11,Maurice Harkless,NYK,27,6-7,220,St. John's,USA,2012,1,15,62,5.8,3.9,1.1,1.2,3.8%,11.7%,10.5%,57.2%,6.2%
12,Max Strus,CHI,24,6-5,215,DePaul,USA,Undrafted,Undrafted,Undrafted,2,2.5,0.5,0.0,105.8,16.7%,0.0%,15.8%,72.7%,0.0%
13,Maxi Kleber,DAL,28,6-10,240,None,Germany,Undrafted,Undrafted,Undrafted,74,9.1,5.2,1.2,3.4,5.4%,13.6%,13.4%,60.5%,6.5%
14,Melvin Frazier Jr.,ORL,23,6-5,215,Tulane,USA,2018,2,35,19,2.1,0.5,0.2,-15.0,1.4%,6.7%,12.9%,55.9%,3.9%
15,Meyers Leonard,MIA,28,7-0,260,Illinois,USA,2012,1,11,51,6.1,5.1,1.1,4.5,3.0%,21.4%,12.1%,62.7%,7.5%
16,Mfiondu Kabengele,LAC,22,6-9,250,Florida State,Canada,2019,1,27,12,3.5,0.9,0.2,0.8,1.7%,15.9%,24.2%,61.4%,5.0%
17,Michael Carter-Williams,ORL,28,6-5,190,Syracuse,USA,2013,1,11,45,7.2,3.3,2.4,1.4,5.0%,12.1%,17.5%,53.5%,19.2%
18,Michael Frazier II,HOU,26,6-3,200,Florida,USA,Undrafted,Undrafted,Undrafted,13,2.1,0.8,0.2,-16.0,0.6%,6.7%,11.5%,38.4%,2.1%
19,Michael Kidd-Gilchrist,DAL,26,6-6,232,Kentucky,USA,2012,1,2,25,2.4,2.7,0.6,4.2,4.5%,16.9%,13.4%,41.6%,7.7%
20,Michael Porter Jr.,DEN,22,6-10,218,Missouri,USA,2018,1,14,55,9.3,4.7,0.8,0.7,7.0%,21.4%,21.1%,61.7%,7.4%
21,Mikal Bridges,PHX,23,6-6,209,Villanova,USA,2018,1,10,73,9.1,4.0,1.8,2.9,3.2%,10.7%,12.5%,62.0%,8.6%
22,Mike Conley,UTA,32,6-1,175,Ohio State,USA,2007,1,4,47,14.4,3.2,4.4,2.1,2.4%,8.3%,22.3%,53.7%,23.6%
23,Mike Muscala,OKC,28,6-10,240,Bucknell,USA,2013,2,44,47,4.8,2.3,0.9,-2.3,2.7%,15.6%,16.0%,56.9%,10.6%
24,Mike Scott,PHI,31,6-7,237,Virginia,USA,2012,2,43,68,6.0,3.6,0.8,5.7,5.1%,14.8%,13.2%,55.7%,6.4%
25,Miles Bridges,CHA,22,6-6,225,Michigan State,USA,2018,1,12,65,13.0,5.6,1.8,-9.7,4.2%,13.8%,19.6%,52.0%,9.2%
26,Mitchell Robinson,NYK,22,7-0,240,Western Kentucky,USA,2018,2,36,61,9.7,7.0,0.6,-2.9,12.2%,16.0%,12.9%,72.6%,3.9%
27,Miye Oni,UTA,22,6-5,206,Yale,USA,2019,2,58,10,3.5,1.7,0.4,-8.6,4.4%,12.1%,14.6%,51.2%,5.1%
28,Mo Bamba,ORL,22,7-0,231,Texas-Austin,USA,2018,1,6,62,5.4,4.9,0.7,0.5,9.9%,21.6%,16.3%,54.2%,7.7%
29,Monte Morris,DEN,25,6-2,183,Iowa State,USA,2017,2,51,73,9.0,1.9,3.5,0.8,1.4%,6.7%,16.8%,54.5%,21.9%
30,Montrezl Harrell,LAC,26,6-7,240,Louisville,USA,2015,2,32,63,18.6,7.1,1.7,6.5,8.9%,14.1%,24.5%,60.7%,10.2%
