,Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
31,Moritz Wagner,WAS,23,6-11,245,Michigan,Germany,2018,1,25,45,8.7,4.9,1.2,-4.2,6.3%,20.2%,17.9%,63.8%,10.0%
32,Moses Brown,POR,20,7-2,245,UCLA,USA,Undrafted,Undrafted,Undrafted,9,1.2,1.6,0.1,-50.9,7.3%,32.4%,20.0%,40.7%,4.8%
33,Mychal Mulder,GSW,26,6-3,184,Kentucky,Canada,Undrafted,Undrafted,Undrafted,7,11.0,3.3,1.1,6.2,1.6%,9.3%,16.5%,53.3%,5.3%
34,Myles Turner,IND,24,6-11,250,Texas-Austin,USA,2015,1,11,62,12.1,6.6,1.2,0.4,4.7%,16.8%,18.0%,56.6%,5.7%
35,Nassir Little,POR,20,6-5,220,North Carolina,USA,2019,1,25,48,3.6,2.3,0.5,-3.2,4.8%,12.0%,13.1%,50.5%,5.0%
36,Naz Mitrou-Long,IND,26,6-3,218,Iowa State,Canada,Undrafted,Undrafted,Undrafted,5,2.8,1.4,1.6,20.2,0.0%,11.9%,17.7%,41.2%,25.0%
37,Naz Reid,MIN,20,6-9,264,Louisiana State,USA,Undrafted,Undrafted,Undrafted,30,9.0,4.1,1.2,0.7,6.0%,17.6%,23.4%,50.5%,10.6%
38,Nemanja Bjelica,SAC,32,6-10,234,None,Serbia,2010,2,35,72,11.5,6.4,2.8,-1.0,5.4%,17.7%,16.7%,60.2%,14.1%
39,Nerlens Noel,OKC,26,6-10,220,Kentucky,USA,2013,1,6,61,7.4,4.9,0.9,1.3,8.2%,17.4%,14.8%,71.1%,7.9%
40,Nic Claxton,BKN,21,6-11,215,Georgia,USA,2019,2,31,15,4.4,2.9,1.1,-15.6,9.0%,11.2%,14.4%,57.7%,14.2%
41,Nickeil Alexander-Walker,NOP,21,6-5,205,Virginia Tech,Canada,2019,1,17,47,5.7,1.8,1.9,-3.6,1.5%,12.2%,23.3%,47.3%,21.2%
42,Nicolas Batum,CHA,31,6-9,230,None,France,2008,1,25,22,3.6,4.5,3.0,-3.3,4.9%,14.6%,9.3%,46.3%,17.3%
43,Nicolo Melli,NOP,29,6-9,236,None,Italy,Undrafted,Undrafted,Undrafted,60,6.6,3.0,1.4,-4.3,3.4%,13.2%,15.8%,55.6%,11.2%
44,Nigel Williams-Goss,UTA,25,6-2,190,Gonzaga,USA,2017,2,55,10,1.4,0.6,0.6,4.5,3.7%,7.0%,16.1%,41.5%,15.8%
45,Nikola Jokic,DEN,25,7-0,284,None,Serbia,2014,2,41,73,19.9,9.7,7.0,4.5,7.3%,23.7%,26.6%,60.5%,35.0%
46,Nikola Vucevic,ORL,29,6-11,260,Southern California,Montenegro,2011,1,16,62,19.6,10.9,3.6,0.9,6.8%,27.0%,25.8%,54.9%,18.2%
47,Noah Vonleh,DEN,24,6-10,257,Indiana,USA,2014,1,9,36,3.7,3.4,0.8,-5.0,8.4%,20.5%,13.5%,62.2%,11.5%
48,Norman Powell,TOR,27,6-3,215,UCLA,USA,2015,2,46,52,16.0,3.7,1.8,4.6,1.7%,9.8%,21.0%,62.4%,9.5%
49,Norvel Pelle,PHI,27,6-10,231,Iona,USA,Undrafted,Undrafted,Undrafted,24,2.4,3.0,0.3,-15.7,8.1%,22.0%,13.1%,52.6%,4.9%
