,Player,Team,Age,Height,Weight,College,Country,Draft Year,Draft Round,Draft Number,GP,PTS,REB,AST,NetRtg,OREB%,DREB%,USG%,TS%,AST%
0,Joel Embiid,PHI,26,7-0,280,Kansas,Cameroon,2014,1,3,51,23.0,11.6,3.0,5.2,9.1%,27.9%,31.5%,59.0%,17.8%
1,John Collins,ATL,22,6-9,235,Wake Forest,USA,2017,1,19,41,21.6,10.1,1.5,-5.1,8.0%,20.8%,22.4%,65.9%,7.5%
2,John Henson,DET,29,6-9,219,North Carolina,USA,2012,1,14,40,5.5,4.1,1.4,-0.7,7.7%,19.1%,16.0%,57.8%,13.3%
3,John Konchar,MEM,24,6-5,210,Indiana-Purdue Fort Wayne,USA,Undrafted,Undrafted,Undrafted,19,2.8,2.5,1.2,4.9,9.3%,15.2%,9.7%,71.3%,16.1%
4,Johnathan Motley,LAC,25,6-8,230,Baylor,USA,Undrafted,Undrafted,Undrafted,13,2.2,0.8,0.6,5.7,7.7%,18.9%,23.5%,77.4%,30.8%
5,Johnathan Williams,WAS,25,6-9,228,Gonzaga,USA,Undrafted,Undrafted,Undrafted,15,3.0,4.3,0.5,-11.6,11.9%,21.5%,10.0%,56.6%,6.4%
6,Jonah Bolden,PHX,24,6-8,225,UCLA,Australia,2017,2,36,7,1.4,1.3,0.0,-3.2,6.4%,14.0%,13.0%,39.2%,0.0%
7,Jonas Valanciunas,MEM,28,6-11,265,None,Lithuania,2011,1,5,70,14.9,11.3,1.9,0.3,11.0%,27.9%,21.1%,63.1%,10.9%
8,Jonathan Isaac,ORL,22,6-11,230,Florida State,USA,2017,1,6,34,11.9,6.8,1.4,0.7,5.6%,17.7%,18.1%,55.2%,7.4%
9,Jordan Bell,CLE,25,6-8,216,Oregon,USA,2017,2,38,29,3.2,2.8,0.6,-1.6,11.0%,18.7%,15.9%,57.7%,9.0%
10,Jordan Bone,DET,22,6-3,180,Tennessee,USA,2019,2,57,10,1.2,0.4,0.8,-2.9,0.0%,9.1%,17.1%,30.0%,23.5%
11,Jordan Clarkson,UTA,28,6-4,194,Missouri,USA,2014,2,46,71,15.2,2.6,1.9,-0.5,2.8%,7.8%,25.4%,57.4%,13.0%
12,Jordan McLaughlin,MIN,24,5-11,185,Southern California,USA,Undrafted,Undrafted,Undrafted,30,7.6,1.6,4.2,-5.8,1.0%,7.9%,15.1%,58.7%,30.3%
13,Jordan McRae,DET,29,6-5,179,Tennessee,USA,2014,2,58,37,11.5,3.4,2.5,-4.1,2.2%,13.9%,23.9%,51.5%,17.4%
14,Jordan Poole,GSW,21,6-4,194,Michigan,USA,2019,1,28,57,8.8,2.1,2.4,-8.2,0.7%,8.7%,20.0%,45.4%,16.0%
15,Josh Gray,NOP,26,6-0,180,Louisiana State,USA,Undrafted,Undrafted,Undrafted,2,1.0,1.0,1.0,-14.9,5.3%,4.0%,13.7%,50.0%,15.4%
16,Josh Hart,NOP,25,6-5,215,Villanova,USA,2017,1,30,65,10.1,6.5,1.7,-3.1,3.2%,19.5%,15.0%,56.3%,8.4%
17,Josh Jackson,MEM,23,6-8,207,Kansas,USA,2017,1,4,22,9.0,3.0,1.6,2.5,2.7%,12.8%,21.4%,54.7%,12.5%
18,Josh Magette,ORL,30,6-1,160,Alabama Huntsville,USA,2012,0,0,8,1.5,0.8,0.6,2.4,2.2%,12.8%,22.6%,37.8%,23.8%
19,Josh Okogie,MIN,21,6-4,213,Georgia Tech,Nigeria,2018,1,20,62,8.6,4.3,1.6,-4.7,5.0%,11.4%,14.8%,55.3%,8.9%
20,Josh Reaves,DAL,23,6-4,214,Penn State,USA,Undrafted,Undrafted,Undrafted,4,2.0,0.8,0.8,15.5,3.0%,6.3%,16.1%,40.5%,15.8%
21,Josh Richardson,PHI,26,6-5,200,Tennessee,USA,2015,2,40,55,13.7,3.2,2.9,3.3,2.3%,7.5%,20.0%,53.3%,13.8%
22,Jrue Holiday,NOP,30,6-3,205,UCLA,USA,2009,1,17,61,19.1,4.8,6.7,0.5,3.4%,9.5%,24.1%,53.7%,28.4%
23,Juan Toscano-Anderson,GSW,27,6-6,209,Marquette,USA,Undrafted,Undrafted,Undrafted,13,5.3,4.0,2.0,-12.0,3.1%,16.3%,12.5%,52.9%,14.4%
24,Juancho Hernangomez,MIN,24,6-9,214,None,Spain,2016,1,15,48,6.0,4.1,0.8,-2.3,4.6%,18.4%,14.9%,51.8%,6.3%
25,Julius Randle,NYK,25,6-8,250,Kentucky,USA,2014,1,7,64,19.5,9.7,3.1,-5.9,6.7%,22.3%,27.1%,53.8%,15.8%
26,Justin Anderson,BKN,26,6-5,231,Virginia,USA,2015,1,21,10,2.8,2.1,0.8,-0.1,0.8%,16.7%,16.2%,35.2%,9.9%
27,Justin Holiday,IND,31,6-6,180,Washington,USA,Undrafted,Undrafted,Undrafted,73,8.3,3.3,1.3,1.3,1.7%,10.4%,13.0%,58.5%,6.8%
28,Justin Jackson,DAL,25,6-7,220,North Carolina,USA,2017,1,15,65,5.5,2.4,0.8,0.5,2.4%,11.9%,15.0%,49.6%,6.7%
29,Justin James,SAC,23,6-7,190,Wyoming,USA,2019,2,40,36,2.5,0.9,0.5,-2.4,2.4%,11.1%,18.1%,47.7%,11.8%
30,Justin Patton,DET,23,6-11,241,Creighton,USA,2017,1,16,5,1.8,1.0,0.4,-32.0,4.2%,17.4%,19.4%,45.0%,11.1%
31,Justin Robinson,WAS,22,6-1,195,Virginia Tech,USA,2019,,,9,1.4,0.6,0.8,29.9,2.2%,9.8%,13.3%,54.2%,19.4%
32,Justin Wright-Foreman,UTA,22,6-0,190,Hofstra,USA,2019,2,53,4,4.8,1.3,1.8,-32.5,0.0%,12.5%,22.5%,43.7%,29.2%
33,Justise Winslow,MEM,24,6-6,222,Duke,USA,2015,1,10,11,11.3,6.6,4.0,6.4,4.3%,15.4%,19.0%,44.0%,18.3%
34,Jusuf Nurkic,POR,25,7-0,290,None,Bosnia and He...,2014,1,16,8,17.6,10.3,4.0,-0.5,8.7%,24.3%,23.2%,56.7%,17.9%
35,Juwan Morgan,UTA,23,6-7,232,Indiana,USA,Undrafted,Undrafted,Undrafted,21,1.7,1.4,0.3,12.0,7.0%,12.8%,10.1%,64.8%,5.3%
36,KZ Okpala,MIA,21,6-8,215,Stanford,USA,2019,2,32,5,1.4,1.0,0.2,-31.7,3.8%,16.0%,10.2%,59.5%,7.7%
37,Kadeem Allen,NYK,27,6-1,200,Arizona,USA,2017,2,53,10,5.0,0.9,2.1,-10.1,1.6%,6.5%,19.1%,51.2%,25.9%
38,Karl-Anthony Towns,MIN,24,6-11,248,Kentucky,USA,2015,1,1,35,26.5,10.8,4.4,-1.5,7.5%,24.0%,27.8%,64.2%,21.0%
39,Kawhi Leonard,LAC,29,6-7,225,San Diego State,USA,2011,1,15,57,27.1,7.1,4.9,12.2,2.8%,17.5%,32.7%,58.9%,25.5%
40,Keita Bates-Diop,DEN,24,6-8,229,Ohio State,USA,2018,2,48,44,6.5,2.9,0.7,-10.6,3.0%,13.1%,15.6%,53.9%,6.4%
41,Kelan Martin,MIN,24,6-5,230,Butler,USA,Undrafted,Undrafted,Undrafted,31,6.4,3.1,0.7,-1.7,2.1%,15.4%,17.1%,50.6%,7.1%
42,Keldon Johnson,SAS,20,6-5,220,Kentucky,USA,2019,1,29,17,9.1,3.4,0.9,11.3,3.3%,14.6%,16.4%,71.1%,6.6%
43,Kelly Olynyk,MIA,29,6-11,240,Gonzaga,Canada,2013,1,13,67,8.2,4.6,1.7,1.5,3.4%,19.1%,16.5%,62.1%,13.1%
44,Kelly Oubre Jr.,PHX,24,6-7,203,Kansas,USA,2015,1,15,56,18.7,6.4,1.5,0.2,3.4%,15.1%,21.9%,56.0%,6.6%
45,Kemba Walker,BOS,30,6-0,184,Connecticut,USA,2011,1,9,56,20.4,3.9,4.8,7.1,2.0%,10.0%,26.8%,57.5%,23.2%
46,Kendrick Nunn,MIA,24,6-2,190,Oakland,USA,Undrafted,Undrafted,Undrafted,67,15.3,2.7,3.3,1.2,1.1%,7.9%,23.6%,53.4%,18.2%
47,Kenrich Williams,NOP,25,6-6,210,TCU,USA,Undrafted,Undrafted,Undrafted,39,3.5,4.8,1.5,-1.0,5.5%,15.7%,8.7%,42.9%,8.7%
48,Kent Bazemore,SAC,30,6-4,195,Old Dominion,USA,Undrafted,Undrafted,Undrafted,68,8.8,4.3,1.4,0.8,1.5%,14.4%,17.1%,49.9%,7.7%
49,Kentavious Caldwell-Pope,LAL,27,6-5,204,Georgia,USA,2013,1,8,69,9.3,2.1,1.6,3.5,2.1%,5.6%,14.2%,58.4%,8.5%
